2022-03-12 19:57:33,047 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:00:48,936 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1
2022-03-12 20:01:16,202 [1] INFO WowsTools.WowsMain - 初始化 版本=0.0.1

2022-03-12 21:08:07,295 [5] INFO  WowsTools.model.WowsUserInfo - 游戏用户信息：{"status":"ok","meta":{"count":24,"hidden":[2034043504,2030308453]},"data":{"2024540290":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":3371,"max_frags_ship_id":4290688720,"hits":322205,"shots":956989},"battles":5087,"damage_dealt":418998473,"wins":2777,"xp":9949359,"frags":4094,"survived_battles":2401}},"nickname":"KaguraMeaa","last_battle_time":1647003701},"2022214870":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":1765,"max_frags_ship_id":3751753552,"hits":170430,"shots":718212},"battles":5494,"damage_dealt":161310124,"wins":2663,"xp":5932605,"frags":2731,"survived_battles":1944}},"nickname":"Player_0501343834","last_battle_time":1647008316},"2022515210":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":8,"frags":4247,"max_frags_ship_id":4290689008,"hits":456944,"shots":1371930},"battles":5507,"damage_dealt":473735899,"wins":3418,"xp":11981933,"frags":5945,"survived_battles":3524}},"nickname":"JustOneSummer","last_battle_time":1647076842},"2023947023":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":1550,"max_frags_ship_id":3761157936,"hits":108076,"shots":341118},"battles":2348,"damage_dealt":134836761,"wins":1253,"xp":3571641,"frags":1816,"survived_battles":1032}},"nickname":"Szerynge","last_battle_time":1646317593},"2033437990":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":7,"frags":1540,"max_frags_ship_id":4181669328,"hits":104024,"shots":322185},"battles":2247,"damage_dealt":150939190,"wins":1251,"xp":3435319,"frags":1922,"survived_battles":1082}},"nickname":"We_name_is_Goodall","last_battle_time":1647078719},"2022771624":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":2847,"max_frags_ship_id":4179539920,"hits":316643,"shots":992849},"battles":4543,"damage_dealt":332408532,"wins":2498,"xp":8644822,"frags":3571,"survived_battles":2017}},"nickname":"YHR_123","last_battle_time":1647089003},"2025973286":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":4,"frags":588,"max_frags_ship_id":4184815408,"hits":153853,"shots":716628},"battles":2942,"damage_dealt":136249798,"wins":1298,"xp":3097942,"frags":765,"survived_battles":1027}},"nickname":"495315098","last_battle_time":1647089864},"2026740012":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":781,"max_frags_ship_id":4183766480,"hits":67616,"shots":216083},"battles":2863,"damage_dealt":109556073,"wins":1374,"xp":3841242,"frags":1692,"survived_battles":974}},"nickname":"232323TTT_","last_battle_time":1647089072},"2026737974":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":2074,"max_frags_ship_id":4259264496,"hits":257355,"shots":791851},"battles":4480,"damage_dealt":189231433,"wins":2334,"xp":5778029,"frags":3285,"survived_battles":1973}},"nickname":"keirt_v","last_battle_time":1647084384},"2036842169":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":7,"frags":481,"max_frags_ship_id":4288624624,"hits":25131,"shots":120012},"battles":1114,"damage_dealt":42661461,"wins":509,"xp":1473102,"frags":624,"survived_battles":367}},"nickname":"darksword_22_","last_battle_time":1647088771},"2023915835":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":7,"frags":1070,"max_frags_ship_id":4183766480,"hits":94466,"shots":279206},"battles":3461,"damage_dealt":125229590,"wins":1652,"xp":4025424,"frags":1632,"survived_battles":653}},"nickname":"Cloud_666","last_battle_time":1647088970},"2025528770":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":6,"frags":1866,"max_frags_ship_id":4286527184,"hits":224219,"shots":655080},"battles":3860,"damage_dealt":242400752,"wins":2072,"xp":6885823,"frags":2862,"survived_battles":1395}},"nickname":"chenlinhanK","last_battle_time":1647089534},"2023841999":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":1881,"max_frags_ship_id":4183734000,"hits":179665,"shots":571119},"battles":4932,"damage_dealt":182783769,"wins":2407,"xp":5283001,"frags":2841,"survived_battles":1224}},"nickname":"malimalihongzha","last_battle_time":1647008169},"2007037012":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":6,"frags":3749,"max_frags_ship_id":3763287856,"hits":441141,"shots":1333214},"battles":10361,"damage_dealt":459717691,"wins":5227,"xp":11201458,"frags":5911,"survived_battles":3181}},"nickname":"FortPumpkin","last_battle_time":1647007072},"2017809493":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":6,"frags":1809,"max_frags_ship_id":4282333168,"hits":208948,"shots":669397},"battles":2498,"damage_dealt":160716154,"wins":1425,"xp":3857652,"frags":2281,"survived_battles":953}},"nickname":"YakumoKoishi","last_battle_time":1646933718},"2020438358":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":7,"frags":3489,"max_frags_ship_id":4282333168,"hits":328122,"shots":1092306},"battles":6355,"damage_dealt":372526404,"wins":3217,"xp":10783401,"frags":4521,"survived_battles":2466}},"nickname":"Iwato_Kasumi","last_battle_time":1647061371},"2025475420":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":3783,"max_frags_ship_id":3761190608,"hits":397048,"shots":1062981},"battles":7698,"damage_dealt":423399699,"wins":4097,"xp":13402405,"frags":5871,"survived_battles":2328}},"nickname":"2461198274","last_battle_time":1647085532},"2030308453":{"statistics":null,"nickname":"baobeishuo","last_battle_time":1647089016},"2020399714":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":6,"frags":3329,"max_frags_ship_id":4290689008,"hits":408688,"shots":1109570},"battles":4105,"damage_dealt":368304246,"wins":2507,"xp":8659613,"frags":4413,"survived_battles":2318}},"nickname":"stiggg","last_battle_time":1646751485},"2032204582":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":5,"frags":524,"max_frags_ship_id":4188977104,"hits":33958,"shots":137353},"battles":1328,"damage_dealt":50820490,"wins":604,"xp":1735075,"frags":629,"survived_battles":370}},"nickname":"Invicible_BC","last_battle_time":1647002534},"2023838310":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":7,"frags":2035,"max_frags_ship_id":3767449584,"hits":237686,"shots":718482},"battles":3450,"damage_dealt":205381488,"wins":1786,"xp":5391782,"frags":2624,"survived_battles":1299}},"nickname":"817817","last_battle_time":1647060605},"2034043504":{"statistics":null,"nickname":"779847908","last_battle_time":1647088754},"2019290489":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":6,"frags":569,"max_frags_ship_id":4188976976,"hits":82345,"shots":514587},"battles":3964,"damage_dealt":81731299,"wins":1657,"xp":3473185,"frags":1243,"survived_battles":2126}},"nickname":"Edward_Wai","last_battle_time":1646927695},"2008372091":{"statistics":{"pvp":{"main_battery":{"max_frags_battle":8,"frags":7313,"max_frags_ship_id":4179539920,"hits":636194,"shots":2053856},"battles":10923,"damage_dealt":678032513,"wins":6043,"xp":17576390,"frags":10399,"survived_battles":4926}},"nickname":"EndoYurikaKawaii","last_battle_time":1647074708}}}

2022-03-12 21:08:07,495 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2025475420":[{"pvp":{"main_battery":{"max_frags_battle":0,"frags":0,"hits":180,"shots":424},"battles":1,"damage_dealt":83615,"wins":1,"xp":2723,"frags":0,"survived_battles":0},"last_battle_time":1645101666,"account_id":2025475420,"ship_id":4179506640}]}}

2022-03-12 21:08:07,693 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2020399714":[{"pvp":{"main_battery":{"max_frags_battle":0,"frags":0,"hits":0,"shots":0},"battles":0,"damage_dealt":0,"wins":0,"xp":0,"frags":0,"survived_battles":0},"last_battle_time":0,"account_id":2020399714,"ship_id":3760109392}]}}

2022-03-12 21:08:08,138 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2023841999":[{"pvp":{"main_battery":{"max_frags_battle":2,"frags":18,"hits":1461,"shots":3912},"battles":61,"damage_dealt":2085913,"wins":23,"xp":73000,"frags":34,"survived_battles":14},"last_battle_time":1645708967,"account_id":2023841999,"ship_id":4179506480}]}}

2022-03-12 21:08:08,322 [5] INFO  WowsTools.model.WowsShipData - 游戏用户船只信息：{"status":"ok","meta":{"count":1,"hidden":null},"data":{"2032204582":[{"pvp":{"main_battery":{"max_frags_battle":0,"frags":0,"hits":0,"shots":0},"battles":0,"damage_dealt":0,"wins":0,"xp":0,"frags":0,"survived_battles":0},"last_battle_time":1646288482,"account_id":2032204582,"ship_id":3760142160}]}}

